"id","code","name","address","developer_name","master_plan_url","infrastructure_map_url","construction_start_date_from","handover_date","rank","total_area","ctsn_dens","total_property","min_selling_price","max_selling_price","min_unit_price","max_unit_price","blocks","number_ele","number_living_floor","number_basement","min_prop_per_floor","max_prop_per_floor","bike_parking_monthly","car_parking_monthly","latitude","longitude"
"9dc5442a-7f69-ca0c-1b6c-cb016fbaa62e","Chung cư Ban cơ yếu Chính Phủ","Chung cư Ban cơ yếu Chính Phủ","P. Nhân Chính, Q. Thanh Xuân, TP. Hà Nội","Tổng công ty đầu tư phát triển nhà phố và đô thị Bộ Quốc Phòng","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/215.%20Chung%20c%C6%B0%20Ban%20c%C6%A1%20y%E1%BA%BFu%20Ch%C3%ADnh%20ph%E1%BB%A7/51%20Quan%20Nh%C3%A2n.jpg.png","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Thanh%20Xu%C3%A2n.png","2017-01-01","2000-12-31","Trung cấp",0.75,45.6,388,3594867543,10829238043,49121150,65348432,2,4,25,3,9,9,0,0,20.999838,105.797931
"89e13994-93d2-702b-619a-ccb4b91a8155","Chung cư Bộ Tư Lệnh Tăng Thiết Giáp","Chung cư Bộ Tư Lệnh Tăng Thiết Giáp","P. Mỹ Đình 1, Q. Nam Từ Liêm, TP. Hà Nội","Công ty xây dựng và phát triển hạ tầng đô thị Bộ Quốc Phòng","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/163.%20Chung%20c%C6%B0%20T%C4%83ng%20Thi%E1%BA%BFt%20Gi%C3%A1p/163.%20Chung%20c%C6%B0%20T%C4%83ng%20Thi%E1%BA%BFt%20Gi%C3%A1p.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Nam%20T%E1%BB%AB%20Li%C3%AAm.png","2016-01-01","2018-04-01","Trung cấp",0.12,0.37,0,3049116192,3408011704,43558802,48685881,0,3,23,2,13,13,90,1,21.018809,105.771868
"72fd0647-b2f8-0089-0726-00c02bb53904","Chung cư Hanhud 234 Hoàng Quốc Việt","Chung cư Hanhud 234 Hoàng Quốc Việt","P. Cổ Nhuế 1, Q. Bắc Từ Liêm, TP. Hà Nội","Công ty CP Kinh doanh phát triển nhà và đô thị Hà Nội (Hanhud)","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/56.%20Chung%20c%C6%B0%20Hanhud%20234%20Ho%C3%A0ng%20Qu%E1%BB%91c%20Vi%E1%BB%87t/56.%20Chung%20c%C6%B0%20Hanhud%20234%20Ho%C3%A0ng%20Qu%E1%BB%91c%20Vi%E1%BB%87t.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_B%E1%BA%AFc%20T%E1%BB%AB%20Li%C3%AAm.png","2015-01-01","2000-12-31","Trung cấp",0.24,62.8,80,2185854029,3688786258,38045655,40222572,1,3,17,1,8,8,80000,1000000,21.049621,105.784103
"d84e9001-5e09-4393-c4e4-e27a1f5b0653","Chung cư Hoàng Dương","Chung cư Hoàng Dương","P. Hoàng Liệt, Q. Hoàng Mai, TP. Hà Nội","Công ty Cổ Phần đầu tư cơ khí Hưng Sơn","https://storage.googleapis.com/cdn.onehousing.vn/HD/Projects2/Chung%20c%C6%B0%20Ho%C3%A0ng%20D%C6%B0%C6%A1ng/Chung%20c%C6%B0%20Ho%C3%A0ng%20D%C6%B0%C6%A1ng.png","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Ho%C3%A0ng%20Mai.png","2000-12-31","2018-12-01","Trung cấp",0.5,0.23,357,1680623462,3141521549,31167597,38473434,1,4,22,2,17,17,100000,1200000,20.957431,105.844757
"edf40a3c-1a02-eaa0-fe26-e07b82ed20f8","Chung cư Học Viện Quốc Phòng","Chung cư Học Viện Quốc Phòng","P. Xuân La, Q. Tây Hồ, TP. Hà Nội","Công ty Cổ phần Đầu tư bất động sản Đông Đô BQP","https://storage.googleapis.com/cdn.onehousing.vn/HD/Projects3/Chung%20c%C6%B0%20H%E1%BB%8Dc%20Vi%E1%BB%87n%20Qu%E1%BB%91c%20Ph%C3%B2ng/Chung%20c%C6%B0%20H%E1%BB%8Dc%20Vi%E1%BB%87n%20Qu%E1%BB%91c%20Ph%C3%B2ng.png","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_T%C3%A2y%20H%E1%BB%93.png","2000-12-31","2013-04-01","Trung cấp",11.26,0.6,540,4205387242,6919136586,43860761,50849828,2,4,30,1,10,10,120000,1200000,21.050063,105.79977
"0ef943bc-5d02-44b5-8f21-7fffa1a328b3","Chung cư Nam Xa La","Chung cư Nam Xa La","P. Phúc La, Q. Hà Đông, TP. Hà Nội","CÔNG TY CỔ PHẦN ĐẦU TƯ TƯ VẤN VÀ XÂY DỰNG VIỆT NAM (Vinaconi)","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/119.%20Chung%20c%C6%B0%20Nam%20Xa%20La/119.%20Chung%20c%C6%B0%20Nam%20Xa%20La.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_H%C3%A0%20%C4%90%C3%B4ng.png","2010-01-01","2000-12-31","Trung cấp",0.74,0.46,632,2126547334,2986143215,32925316,38841109,2,4,33,2,12,12,90000,1200000,20.960548,105.79454
"d19952c3-275d-e5fd-e6f6-f56ebd7be03d","Chung cư Nghĩa Đô","Chung cư Nghĩa Đô","P. Cổ Nhuế 1, Q. Bắc Từ Liêm, TP. Hà Nội","Công ty Cổ phần Đầu tư và xây dựng số 1 Hà Nội (HICC1)","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/79.%20Chung%20c%C6%B0%20Ngh%C4%A9a%20%C4%90%C3%B4/79.%20Chung%20c%C6%B0%20Ngh%C4%A9a%20%C4%90%C3%B4.png","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_B%E1%BA%AFc%20T%E1%BB%AB%20Li%C3%AAm.png","2014-01-01","1900-01-01","Trung cấp",8.2,0.3,0,2338419055,15537709154,46255689,65029156,0,3,25,1,8,21,100000,1100000,21.05161,105.79249
"0700274c-4aac-5546-9307-da2ce7025482","Chung cư Ngô Thì Nhậm","Chung cư Ngô Thì Nhậm","P. Hà Cầu, Q. Hà Đông, TP. Hà Nội","Công ty Cổ phần Bê tông và Xây dựng Vinaconex Xuân Mai","https://storage.googleapis.com/cdn.onehousing.vn/HD/Projects/16112022/Chung%20c%C6%B0%20Ng%C3%B4%20Th%C3%AC%20Nh%E1%BA%ADm.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_H%C3%A0%20%C4%90%C3%B4ng.png","2008-01-01","2010-01-01","",0.67,0.47,0,2614342712,5359322513,40634229,53627789,0,4,26,1,28,32,100000,1200000,20.968879,105.768484
"de4cafd9-5b02-334d-082d-6d7212dc584e","Chung cư Sông  Đà 7","Chung cư Sông  Đà 7","P. Trung Hòa, Q. Cầu Giấy, TP. Hà Nội","Công ty Cổ phần Đầu tư Đô thị và Khu Công nghiệp Sông Đà 7","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/80.%20Chung%20c%C6%B0%20S%C3%B4ng%20%C4%90%C3%A0%207/80.%20Chung%20c%C6%B0%20S%C3%B4ng%20%C4%90%C3%A0%207.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_C%E1%BA%A7u%20Gi%E1%BA%A5y.png","2013-01-01","2000-12-31","Trung cấp",0.24,0.61,207,3547570018,5940685006,45152937,52437318,1,3,27,2,9,9,0,0,21.01127,105.79532
"53dc4aca-679d-41fb-497f-81ed9f3e18b7","Chung cư Thông Tấn Xã","Chung cư Thông Tấn Xã","P. Đại Kim, Q. Hoàng Mai, TP. Hà Nội","Công ty Cổ phần đầu tư Đô thị và KCN sông Đà 7","https://storage.googleapis.com/cdn.onehousing.vn/HD/Projects2/Chung%20c%C6%B0%20Th%C3%B4ng%20t%E1%BA%A5n%20x%C3%A3/Chung%20c%C6%B0%20Th%C3%B4ng%20t%E1%BA%A5n%20x%C3%A3.png","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Ho%C3%A0ng%20Mai.png","2000-12-31","2017-12-01","Trung cấp",1.19,0.44,720,3312524999,5150840651,46354953,50276289,3,3,22,1,9,18,100000,800000,20.975133,105.820085
"ca786b3c-3893-7526-7ecc-be95af32a601","Chung cư Trung Yên 1","Chung cư Trung Yên 1","P. Trung Hòa, Q. Cầu Giấy, TP. Hà Nội","Tổng công ty Đầu tư Phát triển hạ tầng đô thị UDIC","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/81.%20Chung%20c%C6%B0%20Trung%20Y%C3%AAn%201/81.%20Chung%20c%C6%B0%20Trung%20Y%C3%AAn%201.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_C%E1%BA%A7u%20Gi%E1%BA%A5y.png","2003-01-01","2008-01-01","Trung cấp",0.34,0.58,150,4407299081,5954449631,44731715,53737431,1,4,19,1,10,10,0,0,21.014369,105.796241
"7d69edc4-d36b-9cbc-7ddf-8987ec03d34d","Chung cư Tân Tây Đô","Chung cư Tân Tây Đô","X. Tân Lập, H. Đan Phượng, TP. Hà Nội","Công ty cổ phần đầu tư Hải Phát","https://storage.googleapis.com/cdn.onehousing.vn/HD/Projects/20072022/Chung%20c%C6%B0%20T%C3%A2n%20T%C3%A2y%20%C4%90%C3%B4.png","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_%C4%90an%20Ph%C6%B0%E1%BB%A3ng.png","2000-12-31","2013-01-01","Bình dân",4.03,0.33,1364,1728512824,3066157181,26433893,33437442,5,3,25,1,8,14,100000,1400000,21.074627,105.701254
"bd91b10b-61d9-e467-24e5-8cc9749299f1","Chung cư Tây Nam Đại Học Thương Mại","Chung cư Tây Nam Đại Học Thương Mại","P. Mai Dịch, Q. Cầu Giấy, TP. Hà Nội","UBND Thành Phố Hà Nội","https://storage.googleapis.com/cdn.onehousing.vn/HD/Projects/16112022/Chung%20c%C6%B0%20T%C3%A2y%20Nam%20%C4%90%E1%BA%A1i%20H%E1%BB%8Dc%20Th%C6%B0%C6%A1ng%20M%E1%BA%A1i.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_C%E1%BA%A7u%20Gi%E1%BA%A5y.png","2013-12-01","2016-12-01","",0.35,0.3,0,2335043772,4788364387,42588087,54937535,0,4,17,1,15,16,100000,1200000,21.0359,105.77155
"c8db61f8-8ceb-db93-68c8-db5f6fa4661a","Chung cư Vinaconex 1","Chung cư Vinaconex 1","P. Trung Hòa, Q. Cầu Giấy, TP. Hà Nội","Công ty cổ phần xây dựng số 1 - Vinaconex 1","https://storage.googleapis.com/cdn.onehousing.vn/HD/Projects/16112022/Chung%20c%C6%B0%20Vinaconex%201.PNG","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_C%E1%BA%A7u%20Gi%E1%BA%A5y.png","2009-05-01","2011-02-01","",1.33,0.4,0,4114752101,7726127073,34450000,38633808,0,2,27,2,2,3,80000,1200000,21.001564,105.792389
